,price,area,rooms,ebk,garten,balkon,inkl_NK,category,GEN
1,279.18,34.0,2.0,False,False,False,False,Etagenwohnung,Lübeck
2,310.12,36.0,1.0,True,False,True,False,Etagenwohnung,Lübeck
3,780.0,78.0,3.0,True,False,False,False,Wohnung,Segeberg
4,846.0,94.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
5,580.0,60.0,3.0,False,False,True,False,Apartment,Kiel
6,950.0,84.0,2.0,True,True,False,False,Wohnung,Stormarn
7,600.0,72.0,3.0,True,False,True,False,Etagenwohnung,Ostholstein
8,1050.0,92.0,4.0,True,True,False,False,Wohnung,Pinneberg
9,728.33,75.0,3.0,False,False,True,False,Wohnung,Plön
10,325.0,38.0,1.0,True,False,False,False,Erdgeschosswohnung,Pinneberg
11,600.0,53.0,2.0,True,False,True,False,Wohnung,Segeberg
12,1360.0,85.0,3.0,True,False,True,False,Wohnung,Segeberg
13,310.0,28.0,1.0,False,False,True,False,Erdgeschosswohnung,Pinneberg
14,950.0,85.0,3.0,True,False,True,False,Wohnung,Segeberg
15,580.0,64.0,3.0,True,False,False,False,Erdgeschosswohnung,Plön
16,600.0,60.0,2.0,True,False,False,False,Etagenwohnung,Pinneberg
17,760.0,66.0,2.0,True,False,True,False,Wohnung,Pinneberg
18,370.0,42.0,2.0,True,False,False,False,Dachgeschosswohnung,Herzogtum Lauenburg
19,625.0,67.0,2.5,True,False,True,False,Etagenwohnung,Pinneberg
20,560.0,56.0,2.0,True,False,False,False,Etagenwohnung,Stormarn
21,561.0,64.0,2.0,True,False,True,False,Etagenwohnung,Pinneberg
22,890.0,89.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
23,1050.0,76.0,3.0,True,False,False,False,Erdgeschosswohnung,Stormarn
24,1450.0,131.0,5.0,True,False,False,False,Etagenwohnung,Stormarn
25,300.0,60.0,2.5,True,True,False,False,Wohnung,Schleswig-Flensburg
26,870.0,58.0,2.0,True,False,True,False,Etagenwohnung,Stormarn
27,575.0,79.0,3.0,False,False,True,False,Erdgeschosswohnung,Herzogtum Lauenburg
28,350.0,39.0,2.0,False,False,False,False,Etagenwohnung,Kiel
29,439.0,59.0,2.0,True,False,True,False,Etagenwohnung,Kiel
30,389.0,40.0,1.0,True,False,True,False,Erdgeschosswohnung,Kiel
31,425.0,54.0,2.0,False,False,False,False,Erdgeschosswohnung,Rendsburg-Eckernförde
32,529.0,88.0,3.5,True,False,True,False,Wohnung,Schleswig-Flensburg
33,449.0,62.0,2.0,True,False,True,False,Etagenwohnung,Schleswig-Flensburg
34,870.0,75.0,3.0,True,False,False,False,Erdgeschosswohnung,Pinneberg
35,2570.0,165.0,4.0,True,True,False,False,Loft-Studio-Atelier,Lübeck
36,510.0,44.0,2.0,True,False,False,False,Dachgeschosswohnung,Kiel
37,665.0,66.0,2.0,True,False,True,False,Etagenwohnung,Kiel
