,id,title,bullets,tags,price,area,rooms
0,selObject_41517118,2- 3 Zimmer-Apartment mit Balkon im 1. OG,"['Apartment', '•', 'München', 'Allach-Untermenzing']","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 1.360 €,Wohnfläche ca. 72 m²,Zi. 2
1,selObject_44923194,attraktive 2-Zimmerwohnung im Glockenbachviertel -...,"['Dachgeschosswohnung', '•', 'München', 'Altstadt-Lehel']",[],Miete zzgl. NK 1.360 €,Wohnfläche ca. 68 m²,Zi. 2
2,selObject_44194155,Möbliert: Charmante Wohnung in Nähe der Theresienwiese,"['Wohnung', '•', 'München', 'Ludwigsvorstadt-Isarvorstadt']",['Balkon'],Miete zzgl. NK 1.360 €,Wohnfläche ca. 51 m²,Zi. 2
3,selObject_44972519,NEU Möbliert: 2-Zimmer Wohnung Nahe beim Rotkreuzplatz,"['Wohnung', '•', 'München', 'Neuhausen-Nymphenburg']","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 1.360 €,Wohnfläche ca. 51 m²,Zi. 2
4,selObject_44992527,NEU Möbliert: Beim Hohenzollernplatz - schöne helle Wohnun...,"['Wohnung', '•', 'München', 'Schwabing-West']","['NEU', 'NEU']",Miete zzgl. NK 1.360 €,Wohnfläche ca. 49 m²,Zi. 2
5,selObject_44802727,Möbliert: Schöne möblierte Wohnung in Schwabing,"['Wohnung', '•', 'München', 'Schwabing-West']",['Balkon'],Miete zzgl. NK 1.360 €,Wohnfläche ca. 56 m²,Zi. 2
6,selObject_44927408,Schöne 3-Zimmerwohnung mit Einbauküche und Südloggia,"['Apartment', '•', 'München', 'Laim']","['Balkon', 'EBK']",Miete zzgl. NK 1.360 €,Wohnfläche ca. 80 m²,Zi. 3
7,selObject_44386878,neu sanierte Souterrain-Wohnung,"['Souterrainwohnung', '•', 'München', 'Berg', 'am', 'Laim']",['EBK'],Miete zzgl. NK 1.364 €,Wohnfläche ca. 62 m²,Zi. 2
8,selObject_44907687,Ruhige 2-Zimmer Wohnung in Schwabing an der Münchner...,"['Wohnung', '•', 'München', 'Schwabing-Freimann']","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 1.365 €,Wohnfläche ca. 55 m²,Zi. 2
9,selObject_44980295,"NEU Helle, stilvolle 3-Zimmer-Wohnung - Neubau","['Etagenwohnung', '•', 'München', 'Trudering-Riem']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.365 €,Wohnfläche ca. 72 m²,Zi. 3
10,selObject_44954100,"Helle, sanierte 2-Zi.-Wohnung (65m²) mit Balkon ab...","['Wohnung', '•', 'München', 'Sendling-Westpark']",['Balkon'],Miete zzgl. NK 1.365 €,Wohnfläche ca. 65 m²,Zi. 2
11,selObject_44747680,"Frisch sanierte, attraktive, 3-Zimmerwohnung mit Balko...","['Etagenwohnung', '•', 'München', 'Laim']",['Balkon'],Miete zzgl. NK 1.371 €,Wohnfläche ca. 77 m²,Zi. 3
12,selObject_44833582,"ELVIRA! Großhadern/ Hadern, ruhige Lage - Naturnah,...","['Etagenwohnung', '•', 'München', 'Hadern']",['Balkon'],"Miete zzgl. NK 1.374,28 €",Wohnfläche ca. 80 m²,Zi. 4
13,selObject_45007769,NEU ruhig und zentral wohnen im Münchner Westen mit 17m²...,"['Wohnung', '•', 'München', 'Hadern']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.376 €,Wohnfläche ca. 86 m²,Zi. 3
14,selObject_45012969,NEU *Erstbezug* - schöne 3-Zimmer Wohnung in unmittelbarer...,"['Etagenwohnung', '•', 'München']","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 1.376 €,Wohnfläche ca. 80 m²,Zi. 3
15,selObject_41351235,"WG geeignete, geräumige u. ruhige 2 Zimmer.-Wohnung ...","['Etagenwohnung', '•', 'München', 'Bogenhausen']",['EBK'],Miete zzgl. NK 1.380 €,Wohnfläche ca. 70 m²,Zi. 2
16,selObject_44514033,Schöne helle 2 Zimmer Wohnung am Gasteig,"['Etagenwohnung', '•', 'München', 'Au-Haidhausen']",[],"Miete zzgl. NK 1.380,06 €",Wohnfläche ca. 54 m²,Zi. 2
17,selObject_44771206,3-Zimmer Wohnung mit 1 Balkon und Blick ins Grüne,"['Etagenwohnung', '•', 'München', 'Moosach']",['Balkon'],Miete zzgl. NK 1.390 €,Wohnfläche ca. 72 m²,Zi. 3
18,selObject_45009475,"NEU Schöne ruhige zentrale 3ZKB Sendling, 2 Balkone, U-Bah...","['Wohnung', '•', 'München', 'Thalk.Obersendl.-Forsten-Fürstenr.-Solln']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.390 €,Wohnfläche ca. 78 m²,Zi. 3
19,selObject_45017690,NEU MÖBLIERT MIT EIGENEM GARTEN,"['Wohnung', '•', 'München', 'Neuhausen-Nymphenburg']","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 1.390 €,Wohnfläche ca. 50 m²,Zi. 2
20,selObject_43890139,* Helle Wohnung in ruhiger Seitenstraße mit Westbalkon...,"['Etagenwohnung', '•', 'München', 'Berg', 'am', 'Laim']",['Balkon'],Miete zzgl. NK 1.395 €,Wohnfläche ca. 85 m²,Zi. 3
21,selObject_44239104,"Maxvorstadt- Königsplatz, Jugendstilhaus, ruhige 2 Zi-...","['Souterrainwohnung', '•', 'München', 'Maxvorstadt']","['Garten', 'EBK']",Miete zzgl. NK 1.399 €,Wohnfläche ca. 60 m²,Zi. 2
22,selObject_44831913,München - Wohnung mit Dachterrasse/Balkon im 2. Oberge...,"['Wohnung', '•', 'München', 'Pasing-Obermenzing']","['Balkon', 'EBK']",Miete zzgl. NK 1.400 €,Wohnfläche ca. 80 m²,Zi. 2
23,selObject_44906380,3-Zimmer-Wohnung nach Vereinbarung in München zu vermi...,"['Kein', 'Bild']",['Balkon'],Miete zzgl. NK 1.400 €,Wohnfläche ca. 85 m²,Zi. 3
24,selObject_44866859,Traumhafte 3-Zi. Wohnung in Trudering,"['Etagenwohnung', '•', 'München', 'Trudering-Riem']","['Balkon', 'EBK']",Miete zzgl. NK 1.400 €,Wohnfläche ca. 65 m²,Zi. 3
