,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_44994186,NEU gz-i.de: Mit Blick ins Grüne - 3 Zimmer Wohnung mit...,"['Etagenwohnung', '•', 'Dresden', 'Kaditz']","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 985 €,Wohnfläche ca. 71 m²,Zi. 3,34,14
1,selObject_44994182,NEU gz-i.de: Aufgepasst! Neubau! Nähe Uni- Klinik mit EBK...,"['Wohnung', '•', 'Dresden', 'Johannstadt-Nord']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 305 €,Wohnfläche ca. 22 m²,Zi. 1,34,14
2,selObject_44994170,NEU Top Lage! 3 Zimmer-Wohnung in Radeberg,"['Wohnung', '•', 'Radeberg', 'Radeberg']","['NEU', 'NEU']",Miete zzgl. NK 585 €,Wohnfläche ca. 90 m²,Zi. 3,34,14
3,selObject_44994157,NEU Zentral gelegene 2 Zimmer-Wohnung in Radeberg,"['Etagenwohnung', '•', 'Radeberg', 'Radeberg']","['NEU', 'NEU']",Miete zzgl. NK 315 €,Wohnfläche ca. 45 m²,Zi. 2,34,14
4,selObject_44994154,NEU schöne Wohnung in Plauen - Küchenübernahme vom Vormiet...,"['Etagenwohnung', '•', 'Dresden', 'Plauen']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 480 €,Wohnfläche ca. 67 m²,Zi. 3,34,14
5,selObject_44994149,NEU WG-geeignet!!,"['Erdgeschosswohnung', '•', 'Leipzig', 'Altlindenau']","['NEU', 'NEU']",Miete zzgl. NK 460 €,Wohnfläche ca. 61 m²,"Zi. 2,5",34,14
6,selObject_44994146,NEU Citywohnung - Wohngemeinschaft Achtung! praktische...,"['Etagenwohnung', '•', 'Dresden', 'Pirnaische', 'Vorstadt']","['NEU', 'NEU']",Miete zzgl. NK 474 €,Wohnfläche ca. 68 m²,Zi. 3,34,14
7,selObject_44994142,NEU Wohnen im Grünen - interessante 2-Zimmer-Citywohnung...,"['Erdgeschosswohnung', '•', 'Dresden', 'Wilsdruffer', 'Vorstadt/Seevorstadt-West']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 397 €,Wohnfläche ca. 51 m²,Zi. 2,34,14
8,selObject_44994118,NEU Achtung Studenten/Azubis- bei Mietbeginn im August...,"['Etagenwohnung', '•', 'Dresden', 'Gruna']","['NEU', 'NEU']",Miete zzgl. NK 225 €,Wohnfläche ca. 27 m²,Zi. 1,34,14
9,selObject_44994111,NEU 3 Zimmer - Küche und Bad mit Fenster! Balkon und Aufzu...,"['Etagenwohnung', '•', 'Dresden', 'Tolkewitz/Seidnitz-Nord']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 402 €,Wohnfläche ca. 59 m²,Zi. 3,34,14
