,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_44949061,Im Herzen von Edenkoben neu sanierte Altbauwohnung im...,"['Wohnung', '•', 'Edenkoben']",[],Miete zzgl. NK 650 €,Wohnfläche ca. 56 m²,Zi. 3,13,7
1,selObject_44949054,"Attraktiv und ruhig wohnen in Mutterstadt 2,5 Zimmer","['Wohnung', '•', 'Mutterstadt']",[],Miete zzgl. NK 600 €,Wohnfläche ca. 80 m²,"Zi. 2,5",13,7
2,selObject_44948739,"3 ZKB Wohnung in Neuwied, Stadtteil Heimbach-Weis, zu...","['Wohnung', '•', 'Neuwied', 'Heimbach-Weis']",[],Miete zzgl. NK 600 €,Wohnfläche ca. 74 m²,Zi. 3,13,7
3,selObject_44948461,"4-Zimmer-Wohnung mit 80 m² Wfl. in der 2. Etage, Bj....","['Wohnung', '•', 'Irsch']",['Balkon'],Miete zzgl. NK 450 €,Wohnfläche ca. 80 m²,Zi. 3,13,7
4,selObject_44948107,"Ideale Lux Pendler DG Wohnung 128qm, 4ZKB in Trierweil...","['Wohnung', '•', 'Trierweiler', 'Fusenich']","['Balkon', 'EBK']",Miete zzgl. NK 1.050 €,Wohnfläche ca. 128 m²,Zi. 4,13,7
5,selObject_44947506,[Lichtdurchflutete|Gemütliche|Charmante] 2 Raum-DG-...,"['Wohnung', '•', 'Mülheim-Kärlich', 'Urmitz-Bahnhof']",['EBK'],Miete zzgl. NK 600 €,Wohnfläche ca. 80 m²,"Zi. 1,5",13,7
6,selObject_44947059,"Renovierte, helle und ruhig gelegene 2 ZKB-Balkon, PKW...","['Erdgeschosswohnung', '•', 'Münster-Sarmsheim']","['Balkon', 'EBK']",Miete zzgl. NK 450 €,Wohnfläche ca. 50 m²,Zi. 2,13,7
7,selObject_44946192,3-Zimmer-Wohnung in Kaiserslautern zu vermieten,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']","['Garten', 'EBK']",Miete zzgl. NK 591 €,Wohnfläche ca. 78 m²,Zi. 3,13,7
8,selObject_44945526,Dachgeschosswohnung in zentraler Lage zur Innenstadt !,"['Dachgeschosswohnung', '•', 'Bitburg', 'Bitburg']",['Balkon'],Miete zzgl. NK 590 €,Wohnfläche ca. 86 m²,Zi. 3,13,7
9,selObject_44944924,"1 Zimmer, Küche und Bad 45 m² in 55234 Nack zu vermie...","['Apartment', '•', 'Nack']",['EBK'],Miete zzgl. NK 270 €,Wohnfläche ca. 45 m²,Zi. 1,13,7
10,selObject_44943403,"Penthouse Neubaugebiet Kenner Ley, Luxus Ausstattung,...","['Penthouse', '•', 'Kenn']",['EBK'],Miete zzgl. NK 1.440 €,Wohnfläche ca. 124 m²,Zi. 4,13,7
11,selObject_44941057,"Sehr schöne Wohnung mit Süd-West-Terrasse und Garten,...","['Erdgeschosswohnung', '•', 'Trier', 'Trier-Nord']","['Garten', 'EBK']",Miete zzgl. NK 990 €,Wohnfläche ca. 90 m²,Zi. 4,13,7
12,selObject_44940754,Provisionsfrei! Sehr gepflegte helle DG-Wohnung mit...,"['Kein', 'Bild']",['EBK'],Miete zzgl. NK 330 €,Wohnfläche ca. 52 m²,Zi. 2,13,7
13,selObject_44940670,Trier-Petrisberg - Attraktives Appartement in gefragte...,"['Apartment', '•', 'Trier', 'Filsch']","['Balkon', 'EBK']",Miete zzgl. NK 410 €,Wohnfläche ca. 31 m²,Zi. 1,13,7
14,selObject_44938541,Moderne 3 Zimmer Wohnung 1.OG mit Balkon,"['Etagenwohnung', '•', 'Mainz', 'Finthen']","['Balkon', 'EBK']",Miete zzgl. NK 1.050 €,Wohnfläche ca. 81 m²,Zi. 3,13,7
15,selObject_44933818,HEMING-IMMOBILIEN - Traumhafte Singlewohnung,"['Etagenwohnung', '•', 'Wöllstein']","['Garten', 'EBK']",Miete zzgl. NK 580 €,Wohnfläche ca. 59 m²,Zi. 2,13,7
16,selObject_44933377,+ Kleeblatt Immobilien + Ludwigshafen-Mitte: TOP Singl...,"['Kein', 'Bild']","['Balkon', 'EBK']",Miete zzgl. NK 350 €,Wohnfläche ca. 37 m²,Zi. 1,13,7
17,selObject_44933067,Wohnen in der City - Geräumige Zimmer mit Laminat!!,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']",['EBK'],Miete zzgl. NK 505 €,Wohnfläche ca. 67 m²,Zi. 2,13,7
18,selObject_44933066,Große 4-Zimmerwohnung direkt in der City,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']",['Balkon'],Miete zzgl. NK 1.040 €,Wohnfläche ca. 139 m²,Zi. 4,13,7
19,selObject_44932869,WBS erforderlich - Familienwohnung,"['Etagenwohnung', '•', 'Mayen', 'Mayen']",['Balkon'],"Miete zzgl. NK 391,81 €",Wohnfläche ca. 81 m²,Zi. 3,13,7
20,selObject_44932870,WBS erforderlich - Familienwohnung,"['Etagenwohnung', '•', 'Mayen', 'Mayen']",['Balkon'],"Miete zzgl. NK 397,31 €",Wohnfläche ca. 81 m²,Zi. 3,13,7
21,selObject_44929531,"2,5-Zimmerwohnung,DG,in KH-Planig an Einzellperson zu...","['Kein', 'Bild']",[],Miete zzgl. NK 350 €,Wohnfläche ca. 62 m²,"Zi. 2,5",13,7
22,selObject_44929521,3ZKB in ruhigem Dreifamilienhaus,"['Etagenwohnung', '•', 'Grünstadt', 'Grünstadt']",['Garten'],Miete zzgl. NK 420 €,Wohnfläche ca. 63 m²,Zi. 3,13,7
23,selObject_44929008,Pfiffig Wohnen mit gemütlicher Wohnküche nahe Volkspar...,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']",['Balkon'],Miete zzgl. NK 307 €,Wohnfläche ca. 34 m²,Zi. 1,13,7
24,selObject_44928695,Wohnen in Volksparknähe - Perfekt für die kleine Famil...,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']",[],Miete zzgl. NK 520 €,Wohnfläche ca. 71 m²,Zi. 3,13,7
25,selObject_44928682,Eine Wohnung zum verlieben! Sie können sofort einziehe...,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']",[],Miete zzgl. NK 450 €,Wohnfläche ca. 61 m²,Zi. 3,13,7
26,selObject_44928681,Sofort Einziehen in Ihre neue 4-Zimmer-Wohnung mit...,"['Wohnung', '•', 'Kaiserslautern', 'Innenstadt']","['Balkon', 'Garten']",Miete zzgl. NK 583 €,Wohnfläche ca. 68 m²,Zi. 4,13,7
