,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_45043495,NEU Super-Mini-Wohnung 15 m²,"[['Erdgeschosswohnung', '•', 'Merseburg', 'Merseburg']]","['NEU', 'NEU']",Miete zzgl. NK 145 €,Wohnfläche ca. 14 m²,Zi. 1,2,15
1,selObject_45043253,"NEU Helle, renovierte 3-Zimmer-Wohnung zu vermieten!","[['Dachgeschosswohnung', '•', 'Annaburg', 'Annaburg']]","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 345 €,Wohnfläche ca. 80 m²,Zi. 3,2,15
2,selObject_45043230,NEU Sehr schöne Wohnung im Herzen des Stadtteils Rothensee,"[['Etagenwohnung', '•', 'Magdeburg', 'Rothensee']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 290 €,Wohnfläche ca. 56 m²,Zi. 2,2,15
3,selObject_45043163,NEU Sehr schöne Wohnung im Herzen des Stadtteils Rothensee,"[['Etagenwohnung', '•', 'Magdeburg', 'Rothensee']]","['NEU', 'NEU']",Miete zzgl. NK 360 €,Wohnfläche ca. 70 m²,Zi. 3,2,15
4,selObject_45042946,"NEU Helle 2-Zi.-Wohnung mit Balkon, Tageslichtbad und Einb...","[['Etagenwohnung', '•', 'Magdeburg', 'Sudenburg']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 340 €,Wohnfläche ca. 57 m²,Zi. 2,2,15
5,selObject_45042933,NEU 1-Raumwohnung mit Küche,"[['Erdgeschosswohnung', '•', 'Bernburg', 'Bernburg']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 215 €,Wohnfläche ca. 34 m²,Zi. 1,2,15
6,selObject_45042295,NEU Frisch renovierte Wohnung mit Balkon,"[['Dachgeschosswohnung', '•', 'Magdeburg', 'Alte', 'Neustadt']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 492 €,Wohnfläche ca. 82 m²,Zi. 3,2,15
7,selObject_45042212,"NEU 3,5 - Raum mit offener Wohnküche und Masterbad","[['Apartment', '•', 'Gräfenhainichen', 'Gräfenhainichen']]","['NEU', 'NEU']",Miete zzgl. NK 493 €,Wohnfläche ca. 85 m²,"Zi. 3,5",2,15
8,selObject_45042094,NEU Miet-Kauf! Bad Dürrenberg! Top Wohnlage! Kurzfristig...,"[['Wohnung', '•', 'Bad', 'Dürrenberg', 'Lennewitz']]","['NEU', 'NEU']",Miete zzgl. NK 1.095 €,Wohnfläche ca. 127 m²,Zi. 4,2,15
9,selObject_45041708,NEU schöne 3 Raumwohnung in Magdeburg-Sudenburg mit Badewa...,"[['Etagenwohnung', '•', 'Magdeburg', 'Sudenburg']]","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 350 €,Wohnfläche ca. 58 m²,Zi. 3,2,15
10,selObject_45041608,NEU 1-Zi.-Wohnung in Halle (Saale) zu vermieten,"[['Wohnung', '•', 'Halle', 'Innenstadt']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 202 €,Wohnfläche ca. 25 m²,Zi. 1,2,15
11,selObject_45041474,NEU 1 RW 2.OG WE05,"[['Etagenwohnung', '•', 'Halle', 'Giebichenstein']]","['NEU', 'NEU']",Miete zzgl. NK 268 €,Wohnfläche ca. 41 m²,Zi. 1,2,15
12,selObject_45041397,NEU tolle 3 Raumwohnung mit Balkon & Dachterasse,"[['Dachgeschosswohnung', '•', 'Magdeburg', 'Stadtfeld', 'Ost']]","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 520 €,Wohnfläche ca. 76 m²,Zi. 3,2,15
13,selObject_45041340,"NEU Schöne helle 3-Raum-Wohnung im 1.OG rts, WE6","[['Etagenwohnung', '•', 'Dessau-Roßlau', 'Süd']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 398 €,Wohnfläche ca. 66 m²,Zi. 3,2,15
14,selObject_45041269,NEU schöne 3 Raum Wohnug WG geeignet,"[['Etagenwohnung', '•', 'Magdeburg', 'Alte', 'Neustadt']]","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 310 €,Wohnfläche ca. 62 m²,Zi. 2,2,15
15,selObject_45041242,"NEU Geräumige, ruhige 2-Raum Souterrainwohnung im Wohnpark...","[['Souterrainwohnung', '•', 'Köthen']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 300 €,Wohnfläche ca. 58 m²,Zi. 2,2,15
16,selObject_45041221,NEU Attraktiv und ruhig wohnen in Aschersleben,"[['Kein', 'Bild'], ['Wohnung', '•', 'Aschersleben', 'Aschersleben']]","['NEU', 'NEU']",Preis Auf Anfrage,,,2,15
17,selObject_45041206,NEU zwei Zimmer in Bürogebäude,"[['Wohnung', '•', 'Magdeburg', 'Stadtfeld', 'Ost']]","['NEU', 'NEU']",Miete zzgl. NK 352 €,Wohnfläche ca. 44 m²,Zi. 2,2,15
18,selObject_45041129,NEU zentrale 5 Raum Wohnung WG geeignet,"[['Etagenwohnung', '•', 'Magdeburg', 'Alte', 'Neustadt']]","['NEU', 'NEU', 'Garten', 'EBK']",Miete zzgl. NK 750 €,Wohnfläche ca. 128 m²,Zi. 5,2,15
19,selObject_45041076,NEU Einziehen & Wohlfühlen,"[['Erdgeschosswohnung', '•', 'Magdeburg', 'Werder']]","['NEU', 'NEU']",Miete zzgl. NK 720 €,Wohnfläche ca. 96 m²,Zi. 3,2,15
20,selObject_45040940,"NEU 3 Zimmer zum Wohlfühlen, ein Balkon zum Verweilen -...","[['Wohnung', '•', 'Halle', 'Damaschkestraße']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 490 €,Wohnfläche ca. 71 m²,Zi. 3,2,15
21,selObject_45040939,NEU Gemütliche 2-Raumwohnung sucht Nachmieter,"[['Wohnung', '•', 'Merseburg', 'Merseburg']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 275 €,Wohnfläche ca. 51 m²,Zi. 2,2,15
22,selObject_45040937,NEU Kleine 2 Raumwohnung zum Wohlfühlen,"[['Wohnung', '•', 'Merseburg', 'Merseburg']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 271 €,Wohnfläche ca. 50 m²,Zi. 2,2,15
23,selObject_45040931,NEU Gemütliche 4 Raumwohnung mit Balkon,"[['Wohnung', '•', 'Merseburg', 'Merseburg']]","['NEU', 'NEU', 'Balkon']","Miete zzgl. NK 412,50 €",Wohnfläche ca. 76 m²,Zi. 4,2,15
24,selObject_45040864,NEU *wieder verfügbar* Familienwohnung im Altbau mit Parke...,"[['Wohnung', '•', 'Halle', 'Paulusviertel']]","['NEU', 'NEU']",Miete zzgl. NK 552 €,Wohnfläche ca. 92 m²,Zi. 3,2,15
25,selObject_45040845,NEU Dachgeschosswohnung für Singles,"[['Dachgeschosswohnung', '•', 'Naumburg', 'Naumburg']]","['NEU', 'NEU']",Miete zzgl. NK 180 €,Wohnfläche ca. 28 m²,Zi. 1,2,15
26,selObject_45040843,NEU Eine Wohnung voller guter Wohnideen,"[['Erdgeschosswohnung', '•', 'Naumburg', 'Naumburg']]","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 360 €,Wohnfläche ca. 75 m²,Zi. 3,2,15
