,id,title,bullets,tags,price,area,rooms
0,selObject_44682418,"Sehr schöne, außergewöhnlich geschnittene 3 Zimmer...","['Maisonette', '•', 'München', 'Sendling-Westpark']",['EBK'],Miete zzgl. NK 1.800 €,Wohnfläche ca. 103 m²,Zi. 3
1,selObject_44979849,"NEU Moderne, toll geschnittene 3-Zimmer-Wohnung im schönen...","['Wohnung', '•', 'München', 'Hadern']","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 1.980 €,Wohnfläche ca. 95 m²,Zi. 3
2,selObject_44970283,NEU 2-Zimmer-Wohnung mit Terrasse,"['Wohnung', '•', 'München', 'Trudering-Riem']","['NEU', 'NEU', 'Garten', 'EBK']",Miete zzgl. NK 1.100 €,Wohnfläche ca. 59 m²,Zi. 2
3,selObject_44124206,Möblierte Wohnung mit großem umlaufenden Balkon,"['Dachgeschosswohnung', '•', 'München', 'Milbertshofen-Am', 'Hart']","['Balkon', 'EBK']",Miete zzgl. NK 1.200 €,Wohnfläche ca. 54 m²,Zi. 1
4,selObject_44956203,NEU Galeriewohnung: 2-Zi.zzgl. Galerie-Whg- Nr. 22 mit...,"['Dachgeschosswohnung', '•', 'München', 'Trudering-Riem']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 1.495 €,Wohnfläche ca. 72 m²,Zi. 2
5,selObject_44677806,1 WG Zimmer (ca 8qm) in einer neu renovierten 5 Zimmer...,"['Apartment', '•', 'München', 'Laim']","['Garten', 'EBK']",Miete zzgl. NK 499 €,Wohnfläche ca. 90 m²,Zi. 1
6,selObject_44956820,NEU möbliertes 1-Zimmer-Apartment in München-Haidhausen,"['Apartment', '•', 'München', 'Ramersdorf-Perlach']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 730 €,Wohnfläche ca. 25 m²,Zi. 1
7,selObject_44953078,"NEU Bogenhausen, neuwertiges Apartment mit Einbauküche,...","['Apartment', '•', 'München', 'Bogenhausen']","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 930 €,Wohnfläche ca. 31 m²,Zi. 1
8,selObject_44969991,NEU Zu Vermieten - 3-Zimmer-Wohnung in München-Laim - Einz...,"['Wohnung', '•', 'München', 'Laim']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.100 €,Wohnfläche ca. 74 m²,Zi. 3
9,selObject_44959062,NEU Möblierte und geräumige 1-Zimmer Wohnung (39qm) mit...,"['Wohnung', '•', 'München', 'Ramersdorf-Perlach']","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 1.100 €,Wohnfläche ca. 39 m²,Zi. 1
10,selObject_44824794,! SEENÄHE ! sonnige 3 Zi-Whg. im 1.OG mit SÜD-Balkon...,"['Etagenwohnung', '•', 'München', 'Feldmoching-Hasenbergl']","['Balkon', 'EBK']",Miete zzgl. NK 1.500 €,Wohnfläche ca. 83 m²,Zi. 3
11,selObject_44951539,München-Sendling-Westpark - 1 Zimmer-Wohnung mit Balko...,"['Apartment', '•', 'München', 'Sendling-Westpark']","['Balkon', 'EBK']",Miete zzgl. NK 850 €,Wohnfläche ca. 32 m²,Zi. 1
12,selObject_44950090,2- Zimmer Wohnung mit Galerie am Isarhochufer in Oberf...,"['Maisonette', '•', 'München', 'Bogenhausen']",['EBK'],Miete zzgl. NK 1.100 €,Wohnfläche ca. 55 m²,Zi. 2
